"","county","state","pollingplaces","pppcapita","peopleppp","plean","Totalpopulation","pctWhite","pctBlackorAfricanAmerican","pctHispanicorLatino(ofanyrace)","pctNotHispanicorLatino","Citizen,18andoverpopulation","pctUnemploymentRate","Meantraveltimetowork(minutes)","pctLessthan$10,000","pct$10,000to$14,999","pct$15,000to$24,999","pct$25,000to$34,999","pct$35,000to$49,999","pct$50,000to$74,999","pct$75,000to$99,999","pct$100,000to$149,999","pct$150,000to$199,999","pct$200,000ormore","Medianhouseholdincome(dollars)","Meanhouseholdincome(dollars)","Percapitaincome(dollars)","pctFamiliesIncomeBelowPoverty","pctPeopleIncomeBelowPoverty","pctLessthan9thgrade","pct9thto12thgrade,nodiploma","pctHighschoolgraduate(includesequivalency)","pctSomecollege,nodegree","pctAssociate'sdegree","pctBachelor'sdegree","pctGraduateorprofessionaldegree","pctHighschoolgraduateorhigher","pctBachelor'sdegreeorhigher","pctNative","pctForeignborn","popdensity","id","region"
"456","GRADY","GA",13,0.000745797716711606,1340.84615384615,-16.7659386719612,24926,66.3,28.7,11.1,88.9,17431,6.6,25.5,9.3,6.7,13.9,12,14.9,17.2,9.1,11.8,2.8,2.2,42348,59294,22442,17,23.5,7.4,12.3,37.8,18.8,9.5,8.3,5.8,80.3,14.1,94.3,5.7,54.84256,"0500000US13131","South"
"457","GRADY","OK",28,0.000685703090561787,1458.35714285714,-31.6869515992075,54733,85.6,2.2,5.7,94.3,40834,3.7,26.2,5.2,5.3,9.4,10.6,13.1,19,12.1,15.1,5.4,4.7,58177,75021,28577,8.3,11.5,3.5,7.3,39.8,23.5,6.3,14.9,4.8,89.2,19.7,97.9,2.1,49.73421,"0500000US40051","South"
"458","GRAHAM","NC",4,0.000592768227622999,1687,-31.0323536675722,8557,87.8,0.2,1.5,98.5,6748,6.9,29.7,12.6,7.8,14,13.7,17.8,17.7,9.2,4.1,1.6,1.4,36525,45558,19323,14.4,18.1,7.1,11.9,37.2,23.2,7.1,8.2,5.2,81,13.5,99,1,29.30829,"0500000US37075","South"
"459","GRAND FORKS","ND",27,0.000503919372900336,1984.44444444444,-10.093413261741,70400,86.6,4,4.1,95.9,53580,3.8,14.3,9.2,5.2,10.5,9.6,13.7,16.2,12.5,14.7,4.6,3.8,51951,72138,31052,9,17.2,2.1,3.1,23.2,24.2,12.9,22.8,11.7,94.9,34.5,94.6,5.4,49.02231,"0500000US38035","Midwest"
"460","GRANITE","MT",4,0.00149309443822322,669.75,-21.6346153846154,3269,97.9,0.2,2.3,97.7,2679,4.4,24.4,6.2,4.9,11.1,15.1,13.1,23.9,9.5,10.7,1.1,4.5,48958,67821,29074,4.1,8.2,3.3,5.3,33.1,22.9,8.7,16,10.6,91.4,26.6,99,1,1.8927,"0500000US30039","West"
"461","GRANT","LA",34,0.0019995295224653,500.117647058824,-36.2498544650134,22348,78.5,16.7,5,95,17004,5.6,33.2,12,6.1,13,11.5,17,16.8,10.6,9.9,2.2,1,40792,51799,18082,14.3,19.7,5.7,12.6,43.5,20.5,9.3,6.1,2.2,81.7,8.4,96.6,3.4,34.75443,"0500000US22043","South"
"462","GRANT","MN",23,0.00503833515881709,198.478260869565,-15.1199494949495,5938,97.1,0.2,2.3,97.7,4565,4,23.1,5.1,5.2,7.5,12,15.7,23.2,14,10,3.4,4,55912,72452,31940,6.7,10.4,1.7,4.7,33.7,23.2,17.3,14.4,5,93.6,19.4,98.8,1.2,10.83979,"0500000US27051","Midwest"
"463","GRANT","ND",8,0.00422386483632524,236.75,-35.69218870843,2380,98,0,0.5,99.5,1894,2.4,22.5,8.4,4.2,11.2,12.2,13,15,12.1,12.8,5.5,5.6,50962,78988,36287,9.1,11.8,5.2,3.6,37.3,23,13.4,12.9,4.5,91.2,17.4,99.3,0.7,1.434469,"0500000US38037","Midwest"
"464","GRANT","NE",1,0.0017921146953405,558,-44.8320413436693,718,98.3,0.7,1.7,98.3,558,4.3,20.9,7.8,3.4,16,16.7,11.6,21.2,6.5,11.3,3.8,1.7,39479,55726,22640,10.6,19.9,1.4,1.8,37.1,24.5,9.9,19.7,5.5,96.8,25.2,99.7,0.3,0.9242227,"0500000US31075","Midwest"
"465","GRANT","NM",11,0.000504865063337617,1980.72727272727,4.2718782428226,28061,93.6,0.7,50.3,49.7,21788,7.6,17.2,11.9,6.1,14.4,14,14.1,15.4,12.4,6.6,2.9,2.2,37880,56094,24913,15.5,21.8,5.4,7.4,25.5,26,8.3,16.2,11.1,87.1,27.3,96.3,3.7,7.083987,"0500000US35017","West"
"466","GRANT","OK",7,0.00209895052473763,476.428571428571,-36.3829787234043,4418,89.7,1.1,4.9,95.1,3335,3,18.9,2.8,4,11.4,11.2,15.2,19.9,13.8,14.6,4.3,2.8,56287,69667,29060,6.6,9.4,1.5,8.4,34.7,22.9,9.4,17.5,5.6,90.1,23.1,98.8,1.2,4.414154,"0500000US40053","South"
"467","GRANT","SD",17,0.0031278748850046,319.705882352941,-21.0534168904805,7217,94.7,0.2,2.2,97.8,5435,1,11.8,3.6,4.8,7.4,10.9,15.3,25.3,14.4,7.7,6.9,3.8,62532,73392,31453,3.2,7.8,3.3,5.8,43.6,17.1,12.8,13.9,3.5,90.8,17.4,97.4,2.6,10.59071,"0500000US46051","Midwest"
"468","GRANT","WI",92,0.00226127565441809,442.228260869565,-5.1417727171244,51828,96.5,1.4,1.6,98.4,40685,3.1,20.8,5.3,5.4,11,10.6,14.7,20.8,14.9,12.2,2.9,2.1,52958,64487,24974,7.4,14.8,3.5,4.2,36.4,19.8,13.1,14.6,8.4,92.3,23,98.3,1.7,45.19045,"0500000US55043","Midwest"
"469","GRANT","WV",15,0.00159083678014636,628.6,-39.4606834088102,11641,97.2,1.6,0.8,99.2,9429,5.1,25.8,6.6,10.1,12.8,14.5,14.2,17.1,11.6,9.9,1.6,1.6,41071,53321,22828,8.7,12.4,8.7,10.5,45.3,14.3,6.7,9,5.4,80.8,14.4,99.9,0.1,24.38554,"0500000US54023","South"
"470","GRANVILLE","NC",15,0.000331807021036565,3013.8,-1.2867924528302,58874,61,30.4,7.8,92.2,45207,6.1,28.5,6.3,5.8,8.4,11.2,12.9,19.5,14.3,13.8,4,3.8,55628,69571,26228,10.9,13.9,7.3,8.4,31.3,21.2,9.4,15.2,7.1,84.2,22.3,95.5,4.5,110.6673,"0500000US37077","South"
"471","GREELEY","NE",4,0.00218818380743982,457,-31.283422459893,2410,97.5,0.5,2.1,97.9,1828,1.4,20.7,7.4,4.5,10.5,10.5,19.1,21.4,9.3,11.3,4.3,1.6,47128,60121,26159,6.2,9.5,3.9,2.4,33.8,28.4,14.2,12.4,5,93.7,17.4,98.7,1.3,4.229471,"0500000US31077","Midwest"
"472","GREEN LAKE","WI",40,0.00283005518607613,353.35,-19.6993493381198,18757,96.3,1,4.8,95.2,14134,2.8,25,4.5,4.6,11.7,10.9,14.7,21.4,14.2,12.4,3.2,2.4,53260,66080,27915,7.2,11.1,4.1,6.7,39.9,19.6,10.4,13.3,6,89.2,19.3,96.9,3.1,53.66134,"0500000US55047","Midwest"
"473","GREEN","WI",58,0.00206200227531286,484.965517241379,1.2040415380298,36864,96.2,0.5,3,97,28128,2.2,23.1,3.4,4.3,9.2,9.5,13.9,18.8,15.3,16.2,5.7,3.7,62699,76953,31959,5,7.6,2.2,5.3,35.9,21.3,12.2,15.5,7.5,92.5,23,97.8,2.2,63.11863,"0500000US55045","Midwest"
"474","GREENBRIER","WV",29,0.001032285622753,968.724137931035,-21.7363561294197,35347,94,2.4,1.9,98.1,28093,6.7,24.1,9.5,5.9,17.3,13.4,15.2,18,9,7.7,2.4,1.5,39038,53919,23936,13.2,17.9,6.6,8.4,38.6,19.2,7.3,12.9,7,85,19.9,98.7,1.3,34.66027,"0500000US54025","South"
"475","GREENE","GA",5,0.000377557955146115,2648.6,-13.1833352514674,16976,58.5,35.5,6,94,13243,4.9,26.8,8.1,6.6,14.3,10.1,11.2,16.3,9.8,10.8,5.4,7.6,49755,86585,35844,14.9,22.3,5.8,11.1,33.6,18,5.7,14.8,11.1,83.2,25.8,95.3,4.7,43.79195,"0500000US13133","South"
"476","GREENE","IA",7,0.00102489019033675,975.714285714286,-12.5138550210596,9003,96.1,0.4,2.8,97.2,6830,5.3,18.7,5.3,5.8,9.1,10.5,16.6,17.7,16.1,13.7,2.9,2.3,54050,65926,28413,6.5,8.9,1.4,4.9,39.5,22.2,11.8,14.2,5.9,93.7,20.1,98.2,1.8,15.80534,"0500000US19073","Midwest"
"477","GREENE","IL",22,0.00211619853789919,472.545454545455,-27.4766355140187,13218,97,1.5,0.7,99.3,10396,4,28.1,7.4,6.9,11.5,12.6,15.7,19.6,11.7,10.9,2,1.5,46052,58630,23946,10.6,14.4,3.6,8.5,44.4,22.4,8.6,8.8,3.7,87.9,12.4,99.4,0.6,24.34164,"0500000US17061","Midwest"
"478","GREENE","NC",10,0.000650491120796201,1537.3,-4.8188996114801,21008,58.4,35.7,14.8,85.2,15373,9.7,26.5,9.4,6.5,16.7,12.9,15,18.3,11.3,8.1,0.6,1.2,38306,50949,18339,17.7,25.7,10.7,15.2,32.5,21.2,9.8,8,2.5,74.1,10.5,92.4,7.6,78.75861,"0500000US37079","South"
